item_nr,word,pseudoword,word_ZipfSUBTLEX,word_fpmwSUBTLEX,word_len,pseudoword_statistics_overlap_ratio,pseudoword_statistics_plain_length,pseudoword_statistics_lexicality,pseudoword_statistics_ned1,pseudoword_statistics_old20,pseudoword_statistics_overlap,pseudoword_statistics_transition_frequencies_0,pseudoword_statistics_transition_frequencies_1,pseudoword_statistics_transition_frequencies_2,pseudoword_statistics_transition_frequencies_3,pseudoword_statistics_transition_frequencies_4,pseudoword_statistics_transition_frequencies_5,pseudoword_statistics_transition_frequencies_6,pseudoword_difference_statistics_plain_length,pseudoword_difference_statistics_ned1,pseudoword_difference_statistics_old20,pseudoword_difference_statistics_transition_frequencies_0,pseudoword_difference_statistics_transition_frequencies_1,pseudoword_difference_statistics_transition_frequencies_2,pseudoword_difference_statistics_transition_frequencies_3,pseudoword_difference_statistics_transition_frequencies_4,pseudoword_difference_statistics_transition_frequencies_5,pseudoword_difference_statistics_transition_frequencies_6
62,auffälliges,aushürliges,2.96,0.9120108393559097,11,2/3,9,N,0,3.8,8,17115,3184,1875,82,35,228,1119,5260,13123,8676,9611,9822,10041,0,-5,2.15,"0,0,494,-397,-381,-14,105,0,0,0,0,0,0"
63,auflasen,aussaden,1.9,0.07943282347242814,8,2/3,6,N,4,1.8,6,22605,6821,3900,786,1057,5862,2030,4375,18662,19387,0,-6,0.40000000000000013,0,0,755,"552,87,0,-582,-141,0,0"
64,aufschrecken,ausschwikken,2.37,0.23442288153199228,12,2/3,10,N,0,2.75,6,22605,6821,3900,69,177,314,1416,3087,18662,19387,0,-1,0.20000000000000015,0,0,755,"29,123,-244,0,0,0,0"
65,aufspielt,aufgleilt,2.6,0.3981071705534973,9,2/3,7,N,2,2.05,4,5655,1657,816,11,24,39,576,0,-4,0.44999999999999973,0,0,0,-2,-51,-39,0
66,aufwendig,aufnendöl,2.5,0.31622776601683794,9,2/3,7,N,0,3.75,6,22605,6821,3145,35,842,2767,2052,1,12,617,0,-2,1.6,0,0,0,"-151,-148,0,0,-262,-979,-512"
67,ausdenkt,aufdergt,2.71,0.5128613839913648,8,2/3,6,N,0,2.6,4,5655,1657,816,4,1475,2,22,0,-4,0.9000000000000001,0,0,-173,-11,0,-32,-93
68,baufälliges,haukirliges,2.29,0.19498445997580455,11,2/3,9,N,0,4.25,8,3251,41,892,912,156,116,1119,5260,13123,8676,9611,9822,10041,0,-4,2.35,"-85,15,0,-365,-260,-126,105,0,0,0,0,0,0"
69,befolgen,benäugen,4,10,8,2/3,6,N,1,2.1,6,4728,3808,8888,1462,247,655,84,8586,18662,19387,0,-4,0.4500000000000002,0,0,0,"157,-46,52,-23,0,0,0"
70,behinderten,vezönlerten,3.21,1.6218100973589298,11,2/3,9,N,0,3.8,8,4180,2822,8925,820,17,16,673,1337,2699,4983,17878,21646,22249,0,-2,1.9,"844,182,0,-406,-188,-667,-701,-845,0,0,0,0,0"
71,beliebteren,beseimgeren,1.9,0.07943282347242814,11,2/3,9,N,0,3.6,8,3336,2640,8925,2314,133,83,15,4129,14745,12100,12160,21646,22249,0,-5,1.75,"0,0,0,84,-82,5,-96,-161,0,0,0,0,0"
