item_nr,condition,text,corr_ans,is_practice_trial,snd,ZipfSUBTLEX,word_len
101,pseudoword,Jespelanges,lalt,FALSE,0.5640033721923828,NA,11
102,word,kaufte,ralt,FALSE,0.7607695937156678,4.06,6
102,pseudoword,Sauste,lalt,FALSE,0.5445309996604919,NA,6
103,word,konsolidieren,ralt,FALSE,0.6479474782943726,1.9,13
103,pseudoword,lenmalimieren,lalt,FALSE,0.4515125215053558,NA,13
104,word,kreiere,ralt,FALSE,0.6665685057640076,2.67,7
104,pseudoword,greaade,lalt,FALSE,0.5635109305381775,NA,7
105,word,lateinamerikanischer,ralt,FALSE,0.6354303956031799,1.9,20
105,pseudoword,seteinagelesenischem,lalt,FALSE,0.5348292708396911,NA,20
106,word,lebenslänglich,ralt,FALSE,0.6668413281440735,3.77,14
106,pseudoword,lebensrorgtich,lalt,FALSE,0.536178195476532,NA,14
107,word,lediglich,ralt,FALSE,0.7312114119529725,4.07,9
107,pseudoword,ledighens,lalt,FALSE,0.5499514818191529,NA,9
108,word,letzten,ralt,FALSE,0.8080826044082642,5.33,7
108,pseudoword,fitzten,lalt,FALSE,0.5893930554389953,NA,7
109,word,naturalistischen,ralt,FALSE,0.6965251922607422,2.29,16
109,pseudoword,paxudotikrischen,lalt,FALSE,0.4769251346588135,NA,16
110,word,niedergezwungen,ralt,FALSE,0.6302976489067078,2.29,15
110,pseudoword,quaserbesprugen,lalt,FALSE,0.4743596315383911,NA,15
111,word,niederzuhalten,ralt,FALSE,0.6800382256507873,1.9,14
111,pseudoword,beiderzubinten,lalt,FALSE,0.5201567590236664,NA,14
112,word,offiziellem,ralt,FALSE,0.6800602436065674,2.07,11
112,pseudoword,oßmiziivsem,lalt,FALSE,0.33273513317108155,NA,11
113,word,parfümiert,ralt,FALSE,0.7469429731369018,2.64,10
113,pseudoword,Nonfümiert,lalt,FALSE,0.4938121557235718,NA,10
114,word,rasselt,ralt,FALSE,0.6476749420166016,2.2,7
114,pseudoword,messelt,lalt,FALSE,0.5852153182029725,NA,7
115,word,reparierten,ralt,FALSE,0.6882299065589905,2.6,11
115,pseudoword,nezolierten,lalt,FALSE,0.5406713485717773,NA,11
116,word,schlaksigen,ralt,FALSE,0.7498297095298767,1.9,11
